date,open_price,high_price,low_price,close_price,volume,turnover
11/03/2020,106,106,102,103,"1,500.00","155,010.00"
12/03/2020,101,102,100,101,"2,060.00","208,480.00"
15/03/2020,100,102,99,99,"3,290.00","328,130.00"
16/03/2020,99,100,96,99,"2,435.00","238,165.00"
17/03/2020,98,98,96,96,"1,930.00","187,110.00"
18/03/2020,95,96,94,95,960,"91,020.00"
19/03/2020,94,95,93,94,"6,310.00","592,360.00"
29/06/2020,93,93,93,93,80,"7,440.00"
30/06/2020,93,93,93,93,40,"3,720.00"
01/07/2020,94,94,94,94,20,"1,880.00"
05/07/2020,93,94,90,90,260,"23,950.00"
06/07/2020,89,89,85,87,990,"85,160.00"
07/07/2020,88,88,87,88,280,"24,440.00"
08/07/2020,88,90,88,89,841,"74,899.00"
09/07/2020,88,92,88,91,370,"33,190.00"
12/07/2020,90,92,90,91,610,"55,540.00"
13/07/2020,90,91,88,91,"1,415.00","126,370.00"
14/07/2020,90,91,89,90,"1,210.00","109,110.00"
15/07/2020,89,89,86,87,620,"54,340.00"
16/07/2020,87,90,87,90,"5,540.00","498,200.00"
20/07/2020,91,99,91,98,"2,820.00","273,060.00"
21/07/2020,102,102,92,99,"1,470.00","141,360.00"
22/07/2020,98,98,98,98,320,"31,360.00"
23/07/2020,97,97,93,93,"2,250.00","212,680.00"
26/07/2020,92,93,91,91,"7,410.00","681,170.00"
27/07/2020,90,94,88,92,"1,050.00","95,620.00"
28/07/2020,91,92,90,92,"1,920.00","174,750.00"
29/07/2020,91,93,91,93,520,"47,700.00"
30/07/2020,93,99,100,102,"1,600.00","152,390.00"
02/08/2020,100,100,92,94,"1,485.00","142,965.00"
03/08/2020,93,99,93,96,700,"67,020.00"
05/08/2020,95,95,91,92,950,"88,200.00"
06/08/2020,92,96,92,94,"2,991.00","282,114.00"
09/08/2020,93,95,93,93,"1,000.00","94,160.00"
10/08/2020,92,95,92,94,"1,600.00","148,280.00"
11/08/2020,93,94,93,94,670,"62,580.00"
12/08/2020,93,94,93,93,600,"56,030.00"
13/08/2020,92,94,92,93,630,"58,510.00"
16/08/2020,92,92,90,90,"1,090.00","99,290.00"
17/08/2020,90,91,88,90,"2,580.00","229,990.00"
18/08/2020,89,92,89,91,"2,940.00","268,000.00"
19/08/2020,90,91,89,90,515,"46,125.00"
20/08/2020,90,91,89,91,"1,330.00","120,670.00"
23/08/2020,91,92,90,91,650,"58,780.00"
24/08/2020,91,93,90,90,980,"89,580.00"
25/08/2020,89,98,89,94,"1,770.00","164,030.00"
26/08/2020,94,95,91,95,"1,060.00","99,650.00"
27/08/2020,95,95,92,93,976,"90,972.00"
30/08/2020,92,94,91,94,"1,820.00","169,330.00"
31/08/2020,93,100,93,98,"2,040.00","199,570.00"
02/09/2020,98,107,98,107,"8,295.00","870,435.00"
03/09/2020,109,112,102,103,"9,050.00","959,430.00"
06/09/2020,103,105,101,103,"6,340.00","647,780.00"
07/09/2020,101,109,100,100,"5,380.00","556,390.00"
08/09/2020,101,106,99,103,"1,800.00","185,000.00"
09/09/2020,101,107,99,107,"3,100.00","325,360.00"
10/09/2020,105,106,103,105,"2,260.00","236,070.00"
13/09/2020,104,115,100,108,"6,420.00","705,570.00"
14/09/2020,106,118,106,115,"14,940.00","1,718,590.00"
15/09/2020,120,126,116,119,"11,350.00","1,359,070.00"
16/09/2020,117,130,114,129,"22,585.00","2,762,493.00"
