date,open_price,high_price,low_price,close_price,volume,turnover
06/11/2022,280.4,301.7,276,295,"1,884.00","546,069.60"
07/11/2022,290,300,286,286.1,"3,544.00","1,038,648.30"
08/11/2022,286,292.7,281.1,285,"1,195.00","343,472.00"
09/11/2022,280,284,276,276.1,"2,291.00","638,428.30"
10/11/2022,272,276.5,266.6,268.2,"1,833.00","496,153.00"
13/11/2022,263,270.3,263,265.1,750,"198,159.00"
14/11/2022,262.1,275,262.1,270,375,"100,374.00"
15/11/2022,270,275,265,270,953,"257,697.00"
16/11/2022,265.1,273,265.1,270,"2,580.00","693,081.00"
17/11/2022,275,285,269.5,281.9,"2,198.00","610,067.00"
22/11/2022,280,280,271.2,280,"1,608.00","445,107.00"
23/11/2022,285,285,265.1,279.4,"1,524.00","416,344.50"
24/11/2022,284.9,284.9,270,274,"4,990.00","1,352,399.00"
27/11/2022,270,283.9,270,277,"1,775.00","489,657.00"
28/11/2022,275.1,277.5,272.1,274.1,570,"156,117.00"
29/11/2022,269,290,268.7,283,"1,200.00","335,516.50"
30/11/2022,278,278,272,278,"2,157.00","594,417.60"
01/12/2022,273,288,273,277.1,"3,062.00","854,952.40"
04/12/2022,273,295,273,278.2,"1,840.00","518,770.00"
05/12/2022,275,280.5,275,275.5,"2,072.00","571,862.00"
06/12/2022,272,275,270.1,271.7,"1,350.00","369,823.00"
07/12/2022,270,280.5,270,274,"1,747.00","478,653.00"
11/12/2022,275,277,270,270,"1,090.00","295,638.00"
12/12/2022,269,271.9,266.1,271.9,"1,085.00","291,118.50"
13/12/2022,267,273.6,267,273,"1,265.00","342,663.50"
14/12/2022,269.1,281,269.1,281,"1,621.00","445,249.00"
15/12/2022,275.4,275.4,270,271,620,"168,619.00"
18/12/2022,266,269.5,264,264,"3,570.00","952,455.50"
19/12/2022,260.1,275,260.1,263.2,"2,120.00","563,751.00"
20/12/2022,258.6,274,258.6,268,"2,000.00","540,912.00"
21/12/2022,263.1,268,263.1,264.5,730,"193,198.00"
22/12/2022,259.3,264,257,260.1,540,"140,520.00"
26/12/2022,262.1,277.9,262,275,"1,531.00","415,605.50"
27/12/2022,280.5,295,274,286.1,"14,881.00","4,254,419.10"
28/12/2022,288,291.8,275.3,277.3,"4,443.00","1,263,029.60"
29/12/2022,272,301.9,272,299.8,"4,942.00","1,440,795.40"
01/01/2023,295.1,307,294,295.2,"5,342.00","1,602,430.30"
02/01/2023,289.3,313,284.2,297.2,"3,558.00","1,062,391.40"
03/01/2023,298,316.9,296,312,"10,016.00","3,084,653.50"
04/01/2023,318,326.4,301,326.4,"6,128.00","1,948,870.70"
05/01/2023,320.2,332.8,314,322.6,"5,650.00","1,836,316.80"
08/01/2023,317.3,343,317.2,335,"6,060.00","2,019,293.50"
09/01/2023,333,349,333,349,"11,210.00","3,834,647.90"
10/01/2023,354,361,330,330,"19,416.00","6,778,634.80"
12/01/2023,336,336,314,314,"8,918.00","2,891,519.80"
17/01/2023,308.1,339,308.1,333,"7,080.00","2,305,965.50"
