date,open_price,high_price,low_price,close_price,volume,turnover
31/12/2017,171,172,169,169,648,"110,446.00"
01/01/2018,169,178,170,175,154,"26,730.00"
02/01/2018,175,183,172,180,"1,050.00","188,760.00"
03/01/2018,180,178,177,178,94,"16,688.00"
04/01/2018,178,181,175,181,299,"53,602.00"
07/01/2018,181,185,180,183,238,"43,592.00"
08/01/2018,183,184,183,183,560,"103,030.00"
09/01/2018,183,183,181,181,141,"25,589.00"
10/01/2018,181,180,179,179,190,"34,160.00"
14/01/2018,179,180,178,178,45,"8,080.00"
16/01/2018,178,175,169,169,74,"12,788.00"
17/01/2018,169,171,166,171,154,"25,864.00"
21/01/2018,171,176,171,173,271,"46,860.00"
22/01/2018,173,170,167,170,40,"6,770.00"
23/01/2018,170,168,165,168,90,"15,070.00"
24/01/2018,168,175,170,175,105,"18,035.00"
25/01/2018,175,174,172,172,135,"23,250.00"
28/01/2018,172,173,170,173,179,"30,552.00"
29/01/2018,173,176,170,170,192,"32,980.00"
31/01/2018,170,175,168,172,94,"16,136.00"
01/02/2018,172,174,171,172,72,"12,360.00"
04/02/2018,172,170,166,168,105,"17,665.00"
06/02/2018,168,170,168,168,152,"25,810.00"
07/02/2018,168,171,168,171,563,"96,243.00"
08/02/2018,171,174,170,172,736,"125,802.00"
11/02/2018,172,172,169,169,64,"10,876.00"
12/02/2018,169,169,166,166,538,"90,148.00"
14/02/2018,166,168,168,168,88,"14,784.00"
15/02/2018,168,174,168,174,148,"25,210.00"
18/02/2018,177,180,177,180,40,"7,170.00"
20/02/2018,177,177,174,174,54,"9,426.00"
21/02/2018,171,171,171,171,20,"3,420.00"
22/02/2018,168,171,168,171,33,"5,574.00"
25/02/2018,168,170,168,170,204,"34,522.00"
26/02/2018,170,173,170,171,435,"74,995.00"
27/02/2018,170,170,170,170,69,"11,730.00"
28/02/2018,170,173,165,165,813,"135,971.00"
05/03/2018,162,162,160,160,42,"6,740.00"
06/03/2018,160,160,160,160,10,"1,600.00"
07/03/2018,159,163,159,160,191,"30,615.00"
11/03/2018,159,159,155,158,243,"38,315.00"
12/03/2018,155,155,150,154,360,"55,390.00"
13/03/2018,151,154,150,151,220,"33,530.00"
14/03/2018,149,149,149,149,68,"10,132.00"
15/03/2018,151,153,150,150,234,"35,500.00"
18/03/2018,151,156,150,156,248,"37,724.00"
19/03/2018,156,156,150,151,211,"32,028.00"
20/03/2018,148,148,148,148,13,"1,924.00"
21/03/2018,148,150,148,150,158,"23,632.00"
22/03/2018,153,153,150,150,120,"18,270.00"
26/03/2018,148,153,148,148,"1,624.00","244,280.00"
27/03/2018,147,147,145,145,75,"10,895.00"
28/03/2018,145,147,145,147,20,"2,920.00"
29/03/2018,146,149,146,149,30,"4,420.00"
01/04/2018,148,149,148,148,94,"13,922.00"
02/04/2018,149,149,148,148,34,"5,052.00"
04/04/2018,150,152,150,152,23,"3,470.00"
05/04/2018,153,160,153,160,275,"43,537.00"
08/04/2018,163,163,159,159,100,"16,160.00"
09/04/2018,159,162,159,159,522,"83,078.00"
11/04/2018,156,156,156,156,54,"8,424.00"
12/04/2018,153,159,143,154,320,"48,422.00"
15/04/2018,157,160,157,157,87,"13,791.00"
16/04/2018,157,157,157,157,33,"5,181.00"
18/04/2018,160,160,160,160,10,"1,600.00"
19/04/2018,160,168,160,168,564,"92,812.00"
22/04/2018,171,171,165,165,261,"43,275.00"
23/04/2018,168,168,165,165,198,"32,710.00"
24/04/2018,168,168,162,168,144,"24,012.00"
25/04/2018,171,171,168,168,240,"40,360.00"
26/04/2018,168,168,165,166,902,"148,983.00"
29/04/2018,163,165,161,161,140,"22,620.00"
02/05/2018,158,158,158,158,284,"44,872.00"
03/05/2018,161,164,160,160,194,"31,113.00"
06/05/2018,157,157,154,156,326,"50,724.00"
07/05/2018,153,153,152,153,87,"13,278.00"
08/05/2018,150,154,150,153,643,"98,225.00"
09/05/2018,156,157,151,151,118,"18,138.00"
10/05/2018,148,154,148,151,149,"22,546.00"
14/05/2018,148,151,146,148,184,"27,226.00"
15/05/2018,146,146,146,146,20,"2,920.00"
17/05/2018,148,150,148,150,35,"5,210.00"
20/05/2018,148,148,148,148,64,"9,472.00"
21/05/2018,146,150,146,148,90,"13,300.00"
22/05/2018,148,150,147,147,206,"30,516.00"
23/05/2018,147,147,146,146,89,"13,014.00"
24/05/2018,147,149,145,147,540,"79,840.00"
27/05/2018,145,148,145,146,141,"20,717.00"
28/05/2018,144,149,144,149,74,"10,826.00"
29/05/2018,147,149,147,149,88,"13,024.00"
30/05/2018,148,148,148,148,10,"1,480.00"
31/05/2018,148,148,148,148,74,"10,952.00"
03/06/2018,148,149,148,148,104,"15,402.00"
04/06/2018,150,150,146,146,50,"7,360.00"
06/06/2018,144,144,144,144,50,"7,200.00"
07/06/2018,142,142,139,140,712,"100,304.00"
10/06/2018,138,138,138,138,20,"2,760.00"
11/06/2018,138,139,138,139,84,"11,602.00"
12/06/2018,137,140,136,140,458,"63,754.00"
13/06/2018,138,144,138,141,214,"30,308.00"
14/06/2018,142,147,140,147,812,"116,380.00"
17/06/2018,148,155,148,151,949,"144,436.00"
19/06/2018,148,148,146,147,74,"10,844.00"
20/06/2018,147,147,147,147,34,"4,998.00"
21/06/2018,145,145,145,145,20,"2,900.00"
25/06/2018,145,145,143,145,30,"4,330.00"
26/06/2018,145,146,143,143,109,"15,690.00"
27/06/2018,141,143,141,141,146,"20,722.00"
28/06/2018,140,140,140,140,44,"6,160.00"
01/07/2018,140,140,136,136,492,"67,868.00"
02/07/2018,137,139,137,139,70,"9,700.00"
03/07/2018,137,139,137,139,174,"24,008.00"
04/07/2018,137,137,136,137,130,"17,800.00"
05/07/2018,137,137,137,137,77,"10,549.00"
08/07/2018,136,136,136,136,100,"13,600.00"
09/07/2018,136,137,136,137,54,"7,378.00"
10/07/2018,135,137,135,135,158,"21,430.00"
11/07/2018,135,139,134,139,156,"21,084.00"
12/07/2018,137,137,133,134,53,"7,141.00"
15/07/2018,134,134,131,131,202,"26,660.00"
17/07/2018,129,129,127,127,40,"5,120.00"
18/07/2018,125,128,125,127,401,"50,912.00"
19/07/2018,125,129,125,128,50,"6,380.00"
22/07/2018,127,127,126,127,392,"49,434.00"
23/07/2018,128,131,128,129,81,"10,478.00"
24/07/2018,129,133,129,133,160,"20,960.00"
25/07/2018,131,132,129,129,324,"42,368.00"
26/07/2018,128,128,127,127,30,"3,820.00"
29/07/2018,129,129,129,129,100,"12,900.00"
30/07/2018,127,130,127,128,155,"20,009.00"
31/07/2018,129,129,127,127,40,"5,120.00"
01/08/2018,129,129,127,127,30,"3,840.00"
05/08/2018,125,128,125,126,209,"26,555.00"
06/08/2018,126,126,125,125,118,"14,760.00"
07/08/2018,123,125,123,125,30,"3,710.00"
08/08/2018,123,126,123,126,94,"11,750.00"
09/08/2018,127,129,125,126,246,"31,178.00"
12/08/2018,124,126,122,126,192,"23,900.00"
13/08/2018,126,126,124,124,70,"8,720.00"
14/08/2018,122,124,122,124,106,"13,020.00"
15/08/2018,126,126,126,126,12,"1,512.00"
16/08/2018,126,130,126,128,188,"24,086.00"
19/08/2018,126,128,126,126,166,"20,936.00"
20/08/2018,125,125,119,119,293,"35,825.00"
21/08/2018,118,120,118,119,220,"25,990.00"
22/08/2018,117,119,117,119,20,"2,360.00"
23/08/2018,117,117,117,117,38,"4,446.00"
26/08/2018,115,121,115,121,163,"19,125.00"
28/08/2018,120,122,120,122,89,"10,766.00"
29/08/2018,124,125,122,123,121,"14,920.00"
30/08/2018,121,121,117,120,148,"17,464.00"
02/09/2018,120,120,120,120,47,"5,640.00"
03/09/2018,121,121,121,121,44,"5,324.00"
04/09/2018,121,123,121,123,33,"4,039.00"
05/09/2018,122,126,122,126,47,"5,822.00"
06/09/2018,127,129,127,128,652,"82,852.00"
09/09/2018,126,126,126,126,94,"11,844.00"
10/09/2018,124,124,121,121,90,"11,002.00"
11/09/2018,123,123,123,123,30,"3,690.00"
12/09/2018,121,123,121,121,77,"9,385.00"
13/09/2018,120,120,120,120,68,"8,160.00"
16/09/2018,122,122,122,122,169,"20,618.00"
17/09/2018,120,121,120,121,30,"3,620.00"
18/09/2018,119,120,119,120,50,"5,990.00"
20/09/2018,121,124,120,124,403,"49,040.00"
23/09/2018,122,122,120,120,30,"3,640.00"
25/09/2018,120,122,120,120,255,"30,800.00"
26/09/2018,120,120,120,120,62,"7,440.00"
27/09/2018,118,120,118,120,88,"10,404.00"
30/09/2018,118,120,118,120,309,"37,040.00"
